country,fecha_inicio,marca,modelo,vehicle_status_code,account_status,unit_state_code_id,account_type_code,model_year,TC_acceptance_required_date,account,vin,tc_status,dias_envio
MX,2023-11-17 01:37:22,CHEVROLET,Tracker B,VSACTIVE,ASOPEN,E,PN,2024,2024-09-05 17:05:20,179101755,93CEC76C3RB151557,,16d-14d
MX,2023-11-17 01:37:22,CHEVROLET,Tracker B,VSACTIVE,ASOPEN,E,PN,2024,2024-09-05 17:05:20,179101755,93CEC76C3RB151557,,16d-14d
MX,2024-08-10 15:16:31,CHEVROLET,TRAX,VSACTIVE,ASOPEN,E,PN,2020,2024-09-09 15:17:15,182056109,3GNCJ7CE5LL170024,,Libre de envio
MX,2024-08-10 15:16:31,CHEVROLET,TRAX,VSACTIVE,ASOPEN,E,PN,2020,2024-09-09 15:17:15,182056109,3GNCJ7CE5LL170024,,Libre de envio
MX,2024-08-19 14:50:31,CHEVROLET,Tracker B,VSACTIVE,ASOPEN,E,PN,2021,2024-09-18 14:51:46,176015224,93CEF76C3MB132393,,Libre de envio
MX,2024-08-19 14:50:31,CHEVROLET,Tracker B,VSACTIVE,ASOPEN,E,PN,2021,2024-09-18 14:51:46,176015224,93CEF76C3MB132393,,Libre de envio
MX,2024-08-04 18:35:49,CHEVROLET,TRAX 9B,VSACTIVE,ASOPEN,E,PN,2024,2024-09-03 18:36:20,181960195,KL77L6E24RC196987,,Libre de envio
MX,2024-08-04 18:35:49,CHEVROLET,TRAX 9B,VSACTIVE,ASOPEN,E,PN,2024,2024-09-03 18:36:20,181960195,KL77L6E24RC196987,,Libre de envio
MX,2024-08-04 14:56:17,BUICK,Envista,VSACTIVE,ASOPEN,E,PN,2024,2024-09-03 14:57:32,181959331,KL47L2E20RB221752,,Libre de envio
MX,2024-08-04 14:56:17,BUICK,Envista,VSACTIVE,ASOPEN,E,PN,2024,2024-09-03 14:57:32,181959331,KL47L2E20RB221752,,Libre de envio
MX,2024-08-08 18:46:15,CHEVROLET,Onix,VSACTIVE,ASOPEN,E,PN,2021,2024-09-07 18:47:55,182020269,3G1MA5E29ML124839,,Libre de envio
MX,2024-08-08 18:46:15,CHEVROLET,Onix,VSACTIVE,ASOPEN,E,PN,2021,2024-09-07 18:47:55,182020269,3G1MA5E29ML124839,,Libre de envio
MX,2024-08-21 00:02:08,CHEVROLET,Tracker B,VSACTIVE,ASOPEN,E,PN,2024,2024-09-20 00:03:20,182118667,93CEC76C3RB155642,,Libre de envio
